business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 2.9952375, 'lng': 101.4461952}, 'viewport': {'northeast': {'lat': 2.996598379892722, 'lng': 101.4475631798927}, 'southwest': {'lat': 2.993898720107278, 'lng': 101.4448635201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,TAKE A BREAK Cafe & Bistro,{'open_now': True},"[{'height': 3360, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114761038101268750780"">Eyvonne Tan</a>'], 'photo_reference': 'AW30NDxKPVDke3RbSgafA7i2vaBmZmQPdRyFuxHWi4bL0iWwWk7a2QcXclfz-TN-dMmjN-5Zf9WpETEOMLRfex70HK4-qFbqFqL1nt3KKcBau8JCPiMoIi-iw0NwlS1QHR5o6UjoapqsLk3tKaqP8msMOvOjcsffSQrNSDyum9wZ1tUjd7Jq', 'width': 5040}]",ChIJx3zD1BWtzTERgM7kaVohEA8,"{'compound_code': 'XCWW+4G Klang, Selangor', 'global_code': '6PJ3XCWW+4G'}",4.3,ChIJx3zD1BWtzTERgM7kaVohEA8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",102,"60, Jalan Mahogani 1, Bandar Botanik, Klang",
OPERATIONAL,"{'location': {'lat': 3.0084218, 'lng': 101.4398593}, 'viewport': {'northeast': {'lat': 3.009733129892723, 'lng': 101.4412415298927}, 'southwest': {'lat': 3.007033470107278, 'lng': 101.4385418701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restoran AL NAS,{'open_now': True},"[{'height': 780, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114770319592527392476"">adi dharma</a>'], 'photo_reference': 'AW30NDwh7bMyokLCr7MPdCspQk6EKqd_X9GESVVQQ4Pl0ZDa_pxnvRLrTdxN5XKWgRLCOMmPZWdhtt2YG3xMYRP4cxYaRo-NM_nMdvnJCzfTey6xYMW0pL0hLcmd1VYW8-HT6S3xdp4tFSzM7yZCNaiqAbjwK1vmkD4PF5thrpoGXPIJrpq5', 'width': 1040}]",ChIJ8Z6hxoWtzTERDPBjmQx-s5Q,"{'compound_code': '2C5Q+9W Port Klang, Selangor', 'global_code': '6PM32C5Q+9W'}",3.9,ChIJ8Z6hxoWtzTERDPBjmQx-s5Q,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",42,"72, Lorong Batu Nilam 1b, Bandar Bukit Tinggi 1, Pelabuhan Klang",
OPERATIONAL,"{'location': {'lat': 3.0068443, 'lng': 101.4397754}, 'viewport': {'northeast': {'lat': 3.008178829892722, 'lng': 101.4411659298927}, 'southwest': {'lat': 3.005479170107277, 'lng': 101.4384662701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Rockabyte,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109179368130307970876"">staline sebastian</a>'], 'photo_reference': 'AW30NDxzbnMQ5EhkdP4nK0BsDtSPdD-NOQNFFvpnhui7VvshcQnfvQ2A5kKG0nhA2h6vUUbp_HZZKrkXOCaxOKx9Oo6iJfgWNhwEH0sQLsg1BsBsNTmDj42p01HxBMdkc8GCSYRl87rXgZQ4gsF044CcF1V6XE1xKKNaJUTWFbLCiC_Q333E', 'width': 4032}]",ChIJ44vTOYOrzTERieaEviaNcJk,"{'compound_code': '2C4Q+QW Klang, Selangor', 'global_code': '6PM32C4Q+QW'}",4.1,ChIJ44vTOYOrzTERieaEviaNcJk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",15,"C-G-2 Tower C BBT one, Lebuh Batu Nilam 3, Bandar Bukit Tinggi, Klang",
OPERATIONAL,"{'location': {'lat': 2.9978271, 'lng': 101.4424696}, 'viewport': {'northeast': {'lat': 2.999242779892723, 'lng': 101.4438397798927}, 'southwest': {'lat': 2.996543120107278, 'lng': 101.4411401201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,PIM'S Thai Food,{'open_now': False},"[{'height': 1818, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103378355012965169270"">A Google User</a>'], 'photo_reference': 'AW30NDyGr51Q4F5QltPC1SraiJ3Ut5sTyMXDq7a1eJrcK1zORTPL29XbpKbaAZocrvM3hFym4fn2RPIG-PA14k1BYWjmjze7jQIQgeBQLLHVPYtVHWDcbMbUB7OPEkTm3nz9BaGi0OBEFlw_TVt9MX6EBpC7fe-Z4MtOzSAXnZwXvdXcYDqf', 'width': 3231}]",ChIJQV9nnoeszTERFs_OzYrKvNk,"{'compound_code': 'XCXR+4X Klang, Selangor', 'global_code': '6PJ3XCXR+4X'}",4.1,ChIJQV9nnoeszTERFs_OzYrKvNk,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",334,"23, Lorong Batu Nilam 21B, Bandar Bukit Tinggi 2, Klang",2.0
OPERATIONAL,"{'location': {'lat': 2.997427, 'lng': 101.4597387}, 'viewport': {'northeast': {'lat': 2.998684529892723, 'lng': 101.4608986798927}, 'southwest': {'lat': 2.995984870107278, 'lng': 101.4581990201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Lucky Food Street,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118008741983134381336"">Jeffrey Wong</a>'], 'photo_reference': 'AW30NDwISYEve-PFFZf9QU1tCYimCYTzmoJfgWUIq_L1Z9Jnkh4MYzYBkKe2RYaPBX4jEJF9YwATbpT5rn1crEh9KFQrWgot7Id-gYrXQDHnMqOLZ9WFQEPkBSmhyFhqxepT15wB-O8Uczhpmk92_09D9LGTBqJe_RML4osr8474fbgiQmER', 'width': 4032}]",ChIJ41ZVKOGtzTERGItr9aIDf-4,"{'compound_code': 'XFW5+XV Klang, Selangor', 'global_code': '6PJ3XFW5+XV'}",4.0,ChIJ41ZVKOGtzTERGItr9aIDf-4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",547,"No. 68, Jalan Resak 1/KS7, Ambang Botanik, Klang",2.0
OPERATIONAL,"{'location': {'lat': 3.0090605, 'lng': 101.4346262}, 'viewport': {'northeast': {'lat': 3.010409979892722, 'lng': 101.4360268798927}, 'southwest': {'lat': 3.007710320107277, 'lng': 101.4333272201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,eatwhatnxt Bukit Tinggi,,,ChIJkxg4wU6tzTERL5eEC9QTC4g,"{'compound_code': '2C5M+JV Klang, Selangor', 'global_code': '6PM32C5M+JV'}",0.0,ChIJkxg4wU6tzTERL5eEC9QTC4g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"36, Lorong Batu Nilam 3A, Bandar Bukit Tinggi 1, Klang",
OPERATIONAL,"{'location': {'lat': 2.9939896, 'lng': 101.4341032}, 'viewport': {'northeast': {'lat': 2.995349979892722, 'lng': 101.4354729298927}, 'southwest': {'lat': 2.992650320107278, 'lng': 101.4327732701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Restaurant BBT Kopitiam,{'open_now': True},"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110977413965335589473"">Margaret Chiew</a>'], 'photo_reference': 'AW30NDx-6KpUBY5oUoVOx_hiUi7q1C32S4Vn7fWaIll8oWtCr4jQATAl7NHBsDoD1OF-iMpAcBhPGiHnxeQ-e94nM_Fdv0p_qQIT6YZYeczw1iPOSqZb_Qc2afF8QCq4SFcVwt9tjnSQPzm-tkCAZQC6CcFmSHSrZZPmvBVLYTORN0Knlpo', 'width': 5333}]",ChIJDZijfX-szTER5EpEeHWhs4Y,"{'compound_code': 'XCVM+HJ Klang, Selangor', 'global_code': '6PJ3XCVM+HJ'}",3.6,ChIJDZijfX-szTER5EpEeHWhs4Y,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",675,"12A, Lorong Batu Nilam 27A, Bandar Bukit Tinggi 2, Klang",2.0
OPERATIONAL,"{'location': {'lat': 2.994234, 'lng': 101.444718}, 'viewport': {'northeast': {'lat': 2.995641329892722, 'lng': 101.4462124298927}, 'southwest': {'lat': 2.992941670107278, 'lng': 101.4435127701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Texas Chicken AEON Bukit Tinggi,{'open_now': False},"[{'height': 2133, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112285325901501883650"">Vincent Lai</a>'], 'photo_reference': 'AW30NDyhhV5dA_XTn2jhbm3qsyf7ONcHECfcHO04MFE2tafk4MBAjN9TyEP1WJYrBXKLdg6nLmvxO7DFNglzz48IpZAX0eGA_eOQbeXlxTQYtaYmusDMWPwc0X4_lKv2jw2McappWAOlNOBL_rRGjdFN0X4c0bIpnq3606TW03duhONrdOuk', 'width': 2921}]",ChIJB_hq_XyszTERxtSFG65Z13g,"{'compound_code': 'XCVV+MV Klang, Selangor', 'global_code': '6PJ3XCVV+MV'}",3.5,ChIJB_hq_XyszTERxtSFG65Z13g,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",168,"G29, Aeon Mall Bukit Tinggi, 1, Persiaran Batu Nilam 1/KS6, Bandar Bukit Tinggi 2, Klang",2.0
OPERATIONAL,"{'location': {'lat': 2.9974452, 'lng': 101.4423474}, 'viewport': {'northeast': {'lat': 2.998738329892722, 'lng': 101.4436794798927}, 'southwest': {'lat': 2.996038670107277, 'lng': 101.4409798201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Spade's Burger Bukit Tinggi 2,{'open_now': False},"[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108906468856991943701"">Lee Wee Hong</a>'], 'photo_reference': 'AW30NDzzX7qRJmtlXNj6-PhITSIzdjgdb4L7CMmDk49PI7OcrbtaYAYSkJCLIXjcbXQW3PwI9efMFMbrO2pFyecy7k4JTdVPaMftLAM_cgxhZk7mYaqm_e755HrMyvJmuuYdkgagayuZAAtbvXMCUWS1kCCLO8X2-yNwoMZxeC-_qq5wo8fB', 'width': 7296}]",ChIJnzuuY3CtzTERKxnISGBrG6A,"{'compound_code': 'XCWR+XW Klang, Selangor', 'global_code': '6PJ3XCWR+XW'}",4.2,ChIJnzuuY3CtzTERKxnISGBrG6A,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",354,"22A, Lorong Batu Nilam 21A, Bandar Bukit Tinggi 2, Klang",2.0
OPERATIONAL,"{'location': {'lat': 2.9973868, 'lng': 101.4426408}, 'viewport': {'northeast': {'lat': 2.998665479892722, 'lng': 101.4439690298927}, 'southwest': {'lat': 2.995965820107277, 'lng': 101.4412693701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,The Fish Bowl,{'open_now': False},"[{'height': 3648, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115959299265770221104"">ivan siaw</a>'], 'photo_reference': 'AW30NDyHhL4gMGU4aGsjJuzLMb8sY8VgGxKtdK5XhjJCmWDovERGYtcG3pPjAlSOtZbgXI4oYZ52N5yr2OF8xe13wxq0hTPs9aUEyfDzdDrKiZPEXSdi_KHTpnuwngmIxlZKgO0DI19dp66Ps5COIEKoPK2yonNkKKBL8YQMkf3lmqMFT40q', 'width': 2736}]",ChIJueRIhhOtzTERSjIPkcanmaE,"{'compound_code': 'XCWV+X3 Klang, Selangor', 'global_code': '6PJ3XCWV+X3'}",4.1,ChIJueRIhhOtzTERSjIPkcanmaE,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",31,"32, Lorong Batu Nilam 21A, Bandar Bukit Tinggi 2, Klang",2.0
