business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level
OPERATIONAL,"{'location': {'lat': 2.9260154, 'lng': 101.6360925}, 'viewport': {'northeast': {'lat': 2.927364829892722, 'lng': 101.6374642798927}, 'southwest': {'lat': 2.924665170107278, 'lng': 101.6347646201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kafe Ria Middle East Food,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113835153459322958591"">Nasir Rony</a>'], 'photo_reference': 'AW30NDyCuR67D_kNX8niK278idnzchkvPGxfFG4r9iOTYwA7GiV7YHYvtBdmRJuO9P4GehzW0AsKz9QXMhDJxf5NChpvRcJHXVjjjPcu2IKEeZheJZE0FVuPYE2oIbm5QclFygEl5f8lCs3JiCJdM3fKai7G01dM_qPwKWwvukEeOzldVb9v', 'width': 3264}]",ChIJD_QRLN22zTERLUYwdg3ee6c,"{'compound_code': 'WJGP+CC Cyberjaya, Selangor', 'global_code': '6PJ3WJGP+CC'}",4.0,ChIJD_QRLN22zTERLUYwdg3ee6c,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",20,"D' Arc,, Cyberjaya",
OPERATIONAL,"{'location': {'lat': 2.9173763, 'lng': 101.6497175}, 'viewport': {'northeast': {'lat': 2.918742129892722, 'lng': 101.6511121298927}, 'southwest': {'lat': 2.916042470107278, 'lng': 101.6484124701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harvest Cafe Cyberjaya,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109977699577697652315"">Harvest food and coffee</a>'], 'photo_reference': 'AW30NDw9VCIHsWKiqxM5-D6kxXvPaJpxackK48d9RMTj4c2gY5ysv4tx8K1nUbhBT4z690VeIJUhY16qDUOKJH6LB9h1YrlXAYLOkn7TJwi1_zI9g41Olv3_73OkaGjNFPhTep_-KlnnKNF4EocDv9omP3aq6NkqRGn4c6QpmWP-MZwa12Ac', 'width': 3000}]",ChIJC82vteK2zTERc9rmxC-nyGE,"{'compound_code': 'WJ8X+XV Cyberjaya, Selangor', 'global_code': '6PJ3WJ8X+XV'}",3.8,ChIJC82vteK2zTERc9rmxC-nyGE,GOOGLE,"['restaurant', 'cafe', 'food', 'bar', 'point_of_interest', 'establishment']",175,"Lingkaran Cyber Point Barat, Cyberjaya",2.0
OPERATIONAL,"{'location': {'lat': 2.9156627, 'lng': 101.6509477}, 'viewport': {'northeast': {'lat': 2.917024029892722, 'lng': 101.6523470798927}, 'southwest': {'lat': 2.914324370107277, 'lng': 101.6496474201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,AQSA TAM FOOD & MART,{'open_now': True},"[{'height': 3264, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117902842280632767062"">A Google User</a>'], 'photo_reference': 'AW30NDwiZEs3r2mIokF2Aem2M7K6ycVICho3zn1mwiNARD6W1d587nTZPnpyYwyNGfKWJDkE3nucFWqcMStwwkK795MbnMYAQn6xU3T8U7ASmNjPcOxQi3IWMNdliYEU5PFsyOXgqe9V6qafHdJaBlYnYmWL6Lfhqods9sh0UDuxPsIs7mv-', 'width': 2448}]",ChIJ0Rtv3Ou3zTER89xqGbVedzQ,"{'compound_code': 'WM82+79 Cyberjaya, Selangor', 'global_code': '6PJ3WM82+79'}",0.0,ChIJ0Rtv3Ou3zTER89xqGbVedzQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",0,"39g, Lingkaran Cyber Point Barat, Neo Cyber, Cyberjaya",
OPERATIONAL,"{'location': {'lat': 2.915959200000001, 'lng': 101.6508172}, 'viewport': {'northeast': {'lat': 2.917332579892722, 'lng': 101.6521838298927}, 'southwest': {'lat': 2.914632920107278, 'lng': 101.6494841701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Chetz Chillax Cyberjaya,{'open_now': True},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108448183758747529337"">A Google User</a>'], 'photo_reference': 'AW30NDw3B6u3r6WrnabolgsRYDRC5bQ7wWAGAnWF5kJ7xH6LWOEp5T6cUt7YNJ_djOB7YH5JPPw9KXDqtncv-68eSa6o8-_VoJAlMo2LxdgAXWEBjm-AQs0yc5s6n9LkmQXHVWPjS9CW6lWJ67sw7lP769qOh5VDw5ufCRg4kCQkm4W0B0mf', 'width': 1920}]",ChIJO1CmI0W3zTERdLtxkjW83Vw,"{'compound_code': 'WM82+98 Cyberjaya, Selangor', 'global_code': '6PJ3WM82+98'}",4.2,ChIJO1CmI0W3zTERdLtxkjW83Vw,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",127,"36G, Block E, Bixz Avenue II, Neocyber, Lingkaran Cyber Point Barat, Cyberjaya",
OPERATIONAL,"{'location': {'lat': 2.924047, 'lng': 101.6372101}, 'viewport': {'northeast': {'lat': 2.925397179892722, 'lng': 101.6386197798927}, 'southwest': {'lat': 2.922697520107278, 'lng': 101.6359201201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,ALI CHICKEN & FRIES,{'open_now': True},"[{'height': 2639, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111264064259740488186"">A Google User</a>'], 'photo_reference': 'AW30NDzIOsCy5O9FsDhRVK8JPsmOH6Nm7ZcWboP7SuivqH-CnBE4BTeqxxGV9lmYCUNEqztid56mCvYAe0nar-9R8xh-oxuKhXYKRf8NDOaFrXeOlMpu7T8_WqLGs-f4srBAz7yLOWK2T0FtVB8NpQJPETsYGB7kWNllLlvWzih0J-XCBDFW', 'width': 2884}]",ChIJqzqVL-C3zTERTgWzZIgy7EU,"{'compound_code': 'WJFP+JV Cyberjaya, Selangor', 'global_code': '6PJ3WJFP+JV'}",4.9,ChIJqzqVL-C3zTERTgWzZIgy7EU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",14,"L1-09, MENARA PARAGON, Persiaran Bestari, Cyber 11, Cyberjaya",
OPERATIONAL,"{'location': {'lat': 2.9283687, 'lng': 101.6546147}, 'viewport': {'northeast': {'lat': 2.929699029892722, 'lng': 101.6560181298927}, 'southwest': {'lat': 2.926999370107278, 'lng': 101.6533184701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Harley's Burger and Roaster,{'open_now': True},"[{'height': 1536, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103170927665502642664"">Josephine Tang</a>'], 'photo_reference': 'AW30NDwhHtjg3qPyvZdUCKDPMgRJtabN0v80O06DYBBwN_g4bgYDzmjoL4_3ZsqZwZKmqt68BZdOIPILdz9X_yZXP2H4L5DqcigBshAesSWfokN5ZmlSYr1YERJ7oFMonEUb5ECY6DsL3qP4qbscb0XRSd6stWXdClRwMnbunGRnvkHM0F9T', 'width': 2048}]",ChIJc4zjcAq3zTEReugcR-P06Ks,"{'compound_code': 'WMH3+8R Cyberjaya, Selangor', 'global_code': '6PJ3WMH3+8R'}",4.1,ChIJc4zjcAq3zTEReugcR-P06Ks,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",430,Cyberjaya,
OPERATIONAL,"{'location': {'lat': 2.9141625, 'lng': 101.6554689}, 'viewport': {'northeast': {'lat': 2.915498779892723, 'lng': 101.6568081298927}, 'southwest': {'lat': 2.912799120107278, 'lng': 101.6541084701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Uncle Don's (Cyberjaya),{'open_now': True},"[{'height': 2252, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101946083252777249742"">Dom S.</a>'], 'photo_reference': 'AW30NDwZYrACtSBHuHOqWd9UvI2CuyIP1xZwKLIga2Hkm_22_FIj8Ts69knLtWok6zKGU0IajiyKEmoKUERbUDOOMclmyoXzUh6Pvuh1uVLwlTPA76tclqiDzlLeJoVTKNfxvFOsNwSKyYgGOKX7uqfQ4qAe5ysHwWFUb9caAENZKk2aHEUz', 'width': 4000}]",ChIJx7IGMkS3zTER58NGD6VQOMs,"{'compound_code': 'WM74+M5 Sepang, Selangor', 'global_code': '6PJ3WM74+M5'}",3.4,ChIJx7IGMkS3zTER58NGD6VQOMs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",269,"Unit G-2A, Block 3545, Prima 11 Jalan Teknokrat 6 Cyberjaya, Sepang",2.0
OPERATIONAL,"{'location': {'lat': 2.9229424, 'lng': 101.651668}, 'viewport': {'northeast': {'lat': 2.924177379892722, 'lng': 101.6530318798927}, 'southwest': {'lat': 2.921477720107278, 'lng': 101.6503322201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Safaa Restaurant Cyberjaya مطعم صفاء,{'open_now': True},"[{'height': 3456, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105719137499804870131"">Mohd Hafiz</a>'], 'photo_reference': 'AW30NDyM64wOoZF6tvA9d44BM9f1b21w6o-f6-7tLSuaw9sOqM9B3n4K73eWOAR5kGI_Fl8FghE9USh5trbke184VCvojw8daMCc8G6hwVOedXEGV4vYCnEDdqy1CyBwNV_OCjyAKO9nNr2s3pqJ_TuaUboKKcEEyXwETqgG6j8biNhvxRqW', 'width': 4608}]",ChIJ0ZA0F_u2zTERkyAt9E1jWSs,"{'compound_code': 'WMF2+5M Cyberjaya, Selangor', 'global_code': '6PJ3WMF2+5M'}",4.1,ChIJ0ZA0F_u2zTERkyAt9E1jWSs,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",746,"Unit 4800-0-7, CBD Perdana, 1, Jln Perdana, Cyber 12, Cyberjaya",2.0
OPERATIONAL,"{'location': {'lat': 2.9228989, 'lng': 101.6513165}, 'viewport': {'northeast': {'lat': 2.924148079892722, 'lng': 101.6526725298927}, 'southwest': {'lat': 2.921448420107278, 'lng': 101.6499728701073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Cube Bistro,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103223372502393386567"">László Jankovics</a>'], 'photo_reference': 'AW30NDzF3laja__3vEfkuFksybyTBey9a1NJUi0hc9qHk0dwR3fQ3ZikNTZhjO96uwPMelI0emT9GBW2gII7E5DVkWBsnBV4Z7L9VEY4vSjt0EFjfDiJnmJm8Xg37zNUoXwrxolFr-eAElqMYiujoNqecbXphbqc5_OJ7GsEt9Z0EygHI5ft', 'width': 4032}]",ChIJB8GIPvu2zTERcXoN1YryOf4,"{'compound_code': 'WMF2+5G Cyberjaya, Selangor', 'global_code': '6PJ3WMF2+5G'}",3.6,ChIJB8GIPvu2zTERcXoN1YryOf4,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",292,"Unit 4800-0-1, CBD Perdana 1, Off, Jln Perdana, Cyber 12, Cyberjaya",1.0
OPERATIONAL,"{'location': {'lat': 2.9212317, 'lng': 101.6568847}, 'viewport': {'northeast': {'lat': 2.922571079892722, 'lng': 101.6582056798927}, 'southwest': {'lat': 2.919871420107277, 'lng': 101.6555060201073}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,OldTown White Coffee Cyberjaya,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109821114452166380011"">Jan Cílek</a>'], 'photo_reference': 'AW30NDxecc6ltNqrqrtS-0FWZY3AJN6Lr0zpr8jj7WS1cIJaceyJsTjPfoJRAprYFSPfKb3MBXUGf6CHBX6bduVMDGwYGWF0e99AXzHU5ef8qLNT1ljtJJm25jn-T-UVMbIv-d0TVBNx54V3DvIKcbLEJyZQkjdte-EorN3HO9d0GyKDEbWm', 'width': 4032}]",ChIJ4VftSvm2zTERI-xxHcUSvv0,"{'compound_code': 'WMC4+FQ Cyberjaya, Selangor', 'global_code': '6PJ3WMC4+FQ'}",4.0,ChIJ4VftSvm2zTERI-xxHcUSvv0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",2158,"Jalan Teknokrat 5, Cyberjaya",2.0
